workload,op_class,shape_id,M,N,K,multiplicity,macs_per_instance,operand_b_identity,dataflow_candidates,legal_spatial_axes,legal_temporal_axes,bypass_candidates,k_reduction_needs_partial_sum,fqn
smolvla,linear_gemm,113x960x2560,113,960,2560,16,277708800,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.text_model.layers.0.mlp.down_proj
smolvla,linear_gemm,113x960x960,113,960,960,32,104140800,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.text_model.layers.0.self_attn.q_proj
smolvla,linear_gemm,50x2048x720,50,2048,720,32,73728000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,50x720x2048,50,720,2048,16,73728000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,113x320x960,113,320,960,32,34713600,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.text_model.layers.0.self_attn.k_proj
smolvla,linear_gemm,64x960x12288,64,960,12288,1,754974720,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,model.vlm_with_expert.vlm.model.connector.modality_projection.proj
smolvla,linear_gemm,50x960x720,50,960,720,16,34560000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,50x720x960,50,720,960,16,34560000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,113x320x320,113,320,320,16,11571200,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,50x320x720,50,320,720,16,11520000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,50x720x1440,50,720,1440,1,51840000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
smolvla,linear_gemm,50x720x720,50,720,720,1,25920000,weight,weight_stationary|output_stationary|input_stationary,M|N|K_with_reduction,M|N|K,Weights|Inputs|Outputs,True,
